job_key,source_dataset,snapshot_date,source_url,job_link,last_processed_time,got_summary,got_ner,is_being_worked,job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type
linkedin:3702780359,archive,2024-01-15,https://www.linkedin.com/jobs/view/beauty-advisor-inside-sales-sally-beauty-03500-at-sally-beauty-3702780359,https://www.linkedin.com/jobs/view/beauty-advisor-inside-sales-sally-beauty-03500-at-sally-beauty-3702780359,2024-01-19 14:39:09.618801+00,1,1,0,Beauty Advisor (Inside Sales) Sally Beauty 03500,Sally Beauty,"Marysville, OH",2024-01-15,Marysville,United States,Counter Supervisor,Mid senior,Onsite
linkedin:3745397691,archive,2024-01-16,https://ca.linkedin.com/jobs/view/cibc-analyste-principal-int%C3%A9gration-des-clients-et-soutien-aux-ventes-grandes-entreprises-groupe-entreprises-montr%C3%A9al-bilingue-at-cibc-3745397691,https://ca.linkedin.com/jobs/view/cibc-analyste-principal-int%C3%A9gration-des-clients-et-soutien-aux-ventes-grandes-entreprises-groupe-entreprises-montr%C3%A9al-bilingue-at-cibc-3745397691,2024-01-19 14:39:10.337464+00,1,1,0,"CIBC | Analyste Principal, Intégration des clients et soutien aux ventes (Grandes Entreprises) | Groupe Entreprises | Montréal | bilingue",CIBC,"Montreal, Quebec, Canada",2024-01-16,Dorval,Canada,Occupational Analyst,Mid senior,Onsite
linkedin:3739810604,archive,2024-01-14,https://www.linkedin.com/jobs/view/site-supervisor-at-providence-medical-group-dayton-oh-3739810604,https://www.linkedin.com/jobs/view/site-supervisor-at-providence-medical-group-dayton-oh-3739810604,2024-01-19 14:39:28.448734+00,1,1,0,Site Supervisor,"Providence Medical Group, Dayton, OH","Germantown, OH",2024-01-14,Xenia,United States,Supervisor Inspection,Mid senior,Onsite
linkedin:3779848970,archive,2024-01-14,https://www.linkedin.com/jobs/view/office-manager-primary-care-at-hartford-healthcare-3779848970,https://www.linkedin.com/jobs/view/office-manager-primary-care-at-hartford-healthcare-3779848970,2024-01-21 06:01:12.764554+00,1,1,0,Office Manager - Primary Care,Hartford HealthCare,"Norwich, CT",2024-01-14,Windham,United States,Administrative Assistant,Mid senior,Onsite
linkedin:3799704705,archive,2024-01-16,https://www.linkedin.com/jobs/view/ambassador-at-jeni-s-splendid-ice-creams-3799704705,https://www.linkedin.com/jobs/view/ambassador-at-jeni-s-splendid-ice-creams-3799704705,2024-01-21 06:01:12.95186+00,1,1,0,Ambassador,Jeni's Splendid Ice Creams,"Bethesda, MD",2024-01-16,Washington,United States,Goodwill Ambassador,Mid senior,Onsite
linkedin:3800722967,archive,2024-01-16,https://www.linkedin.com/jobs/view/surgical-sales-representative-at-vantage-surgical-solutions-3800722967,https://www.linkedin.com/jobs/view/surgical-sales-representative-at-vantage-surgical-solutions-3800722967,2024-01-21 06:01:13.368912+00,1,1,0,Surgical Sales Representative,VANTAGE Surgical Solutions,"Albany, GA",2024-01-16,Georgia,United States,Handle Maker,Associate,Onsite
linkedin:3806801539,archive,2024-01-16,https://uk.linkedin.com/jobs/view/ct-technologist-at-host-healthcare-inc-3806801539,https://uk.linkedin.com/jobs/view/ct-technologist-at-host-healthcare-inc-3806801539,2024-01-21 06:01:14.166308+00,1,1,0,CT Technologist,"Host Healthcare, Inc.","Elsworth, England, United Kingdom",2024-01-16,Peterborough,United Kingdom,Radiation-Therapy Technologist,Mid senior,Onsite
linkedin:3270339955,archive,2024-01-14,https://www.linkedin.com/jobs/view/electrical-engineer-23-01066-at-espo-corporation-3270339955,https://www.linkedin.com/jobs/view/electrical-engineer-23-01066-at-espo-corporation-3270339955,2024-01-21 06:01:15.652901+00,1,1,0,Electrical Engineer 23-01066,ESPO Corporation,"Rockford, IL",2024-01-14,Belvidere,United States,Civil Engineer,Associate,Onsite
linkedin:3802116488,archive,2024-01-14,https://www.linkedin.com/jobs/view/quality-engineer-aerospace-at-daher-3802116488,https://www.linkedin.com/jobs/view/quality-engineer-aerospace-at-daher-3802116488,2024-01-21 06:01:15.915893+00,1,1,0,Quality Engineer - Aerospace,DAHER,"Stuart, FL",2024-01-14,Florida,United States,Industrial Engineer,Associate,Onsite
linkedin:3732414071,archive,2024-01-14,https://www.linkedin.com/jobs/view/juice-barista-part-time-at-wis-international-3732414071,https://www.linkedin.com/jobs/view/juice-barista-part-time-at-wis-international-3732414071,2024-01-19 14:39:31.638303+00,1,1,0,Juice Barista Part Time,WIS International,"Southgate, MI",2024-01-14,Monroe,United States,Bartender,Mid senior,Onsite
linkedin:3802432316,archive,2024-01-16,https://ca.linkedin.com/jobs/view/assignment-coordinator-casual-at-paramed-home-health-care-3802432316,https://ca.linkedin.com/jobs/view/assignment-coordinator-casual-at-paramed-home-health-care-3802432316,2024-01-19 09:45:09.215838+00,0,0,0,Assignment Coordinator - Casual,ParaMed Home Health Care,"North York, Ontario, Canada",2024-01-16,North York,Canada,Prize Coordinator,Mid senior,Onsite
linkedin:3802593504,archive,2024-01-14,https://www.linkedin.com/jobs/view/travel-allied-health-professional-ct-technologist-at-aureus-medical-group-3802593504,https://www.linkedin.com/jobs/view/travel-allied-health-professional-ct-technologist-at-aureus-medical-group-3802593504,2024-01-19 14:39:09.772798+00,1,1,0,Travel Allied Health Professional - CT Technologist,Aureus Medical Group,"Hackensack, NJ",2024-01-14,White Plains,United States,Nuclear Medicine Technologist,Mid senior,Onsite
linkedin:3687952455,archive,2024-01-14,https://uk.linkedin.com/jobs/view/staff-nurse-at-recruitment-panda-ltd-3687952455,https://uk.linkedin.com/jobs/view/staff-nurse-at-recruitment-panda-ltd-3687952455,2024-01-19 14:39:33.078029+00,1,1,0,Staff Nurse,Recruitment Panda Ltd,"Tavistock, England, United Kingdom",2024-01-14,Plymouth,United Kingdom,Christian Science Nurse,Mid senior,Onsite
linkedin:3752895025,archive,2024-01-16,https://www.linkedin.com/jobs/view/pediatric-critical-care-nurse-practitioner-needed-for-locum-tenens-coverage-at-facility-in-iowa-city-iowa-at-locumtenens-com-3752895025,https://www.linkedin.com/jobs/view/pediatric-critical-care-nurse-practitioner-needed-for-locum-tenens-coverage-at-facility-in-iowa-city-iowa-at-locumtenens-com-3752895025,2024-01-19 14:39:33.128171+00,1,1,0,"Pediatric Critical Care Nurse Practitioner Needed for Locum Tenens Coverage at Facility in Iowa City, Iowa",LocumTenens.com,"Iowa City, IA",2024-01-16,Amana Colonies,United States,Medical Physicist,Mid senior,Onsite
linkedin:3805387781,archive,2024-01-15,https://www.linkedin.com/jobs/view/cable-installer-at-jobs-for-humanity-3805387781,https://www.linkedin.com/jobs/view/cable-installer-at-jobs-for-humanity-3805387781,2024-01-19 14:39:33.318034+00,1,1,0,Cable Installer,Jobs for Humanity,"Santa Claus, IN",2024-01-15,Indiana,United States,Cable Television Installer,Mid senior,Onsite
linkedin:3778107763,archive,2024-01-14,https://www.linkedin.com/jobs/view/permanent-physician-family-practice-at-comphealth-3778107763,https://www.linkedin.com/jobs/view/permanent-physician-family-practice-at-comphealth-3778107763,2024-01-19 14:39:33.371145+00,1,1,0,Permanent | Physician Family Practice,CompHealth,"Modesto, CA",2024-01-14,Modesto,United States,Family Practitioner,Mid senior,Onsite
linkedin:3793217319,archive,2024-01-16,https://www.linkedin.com/jobs/view/lead-based-loan-originator-at-certified-mobile-notary-service-3793217319,https://www.linkedin.com/jobs/view/lead-based-loan-originator-at-certified-mobile-notary-service-3793217319,2024-01-19 14:39:33.567988+00,1,1,0,Lead Based Loan Originator,Certified Mobile Notary Service,"Seattle, WA",2024-01-16,Summit,United States,Handle Maker,Mid senior,Onsite
linkedin:3785648235,archive,2024-01-14,https://www.linkedin.com/jobs/view/customer-service-representative-at-david-s-bridal-3785648235,https://www.linkedin.com/jobs/view/customer-service-representative-at-david-s-bridal-3785648235,2024-01-19 14:39:34.270117+00,1,1,0,Customer Service Representative,David's Bridal,"Maple Shade, NJ",2024-01-14,Winslow,United States,Service Representative,Mid senior,Onsite
linkedin:3787583796,archive,2024-01-14,https://www.linkedin.com/jobs/view/registered-nurse-ii-acute-care-at-bassett-healthcare-at-health-ecareers-3787583796,https://www.linkedin.com/jobs/view/registered-nurse-ii-acute-care-at-bassett-healthcare-at-health-ecareers-3787583796,2024-01-19 14:39:34.685084+00,1,1,0,"Registered Nurse II, Acute Care at Bassett Healthcare",Health eCareers,"Cooperstown, NY",2024-01-14,Herkimer,United States,Nurse Practitioner,Mid senior,Onsite
linkedin:3668709907,archive,2024-01-16,https://www.linkedin.com/jobs/view/endodontist-at-sonrava-health-3668709907,https://www.linkedin.com/jobs/view/endodontist-at-sonrava-health-3668709907,2024-01-19 14:39:34.81272+00,1,1,0,Endodontist,Sonrava Health,"Gainesville, FL",2024-01-16,Gainesville,United States,Endodontist,Mid senior,Onsite
linkedin:3792787260,archive,2024-01-14,https://www.linkedin.com/jobs/view/senior-personal-banker-at-minnesota-bank-trust-a-division-of-htlf-bank-3792787260,https://www.linkedin.com/jobs/view/senior-personal-banker-at-minnesota-bank-trust-a-division-of-htlf-bank-3792787260,2024-01-19 14:39:35.029729+00,1,1,0,Senior Personal Banker,"Minnesota Bank & Trust, a division of HTLF Bank","Edina, MN",2024-01-14,Minneapolis,United States,Teller,Mid senior,Onsite
linkedin:3702776876,archive,2024-01-15,https://www.linkedin.com/jobs/view/beauty-advisor-inside-sales-sally-beauty-03815-at-sally-beauty-3702776876,https://www.linkedin.com/jobs/view/beauty-advisor-inside-sales-sally-beauty-03815-at-sally-beauty-3702776876,2024-01-19 14:39:35.295785+00,1,1,0,Beauty Advisor (Inside Sales) Sally Beauty 03815,Sally Beauty,"Atwater, CA",2024-01-15,Merced,United States,Counter Supervisor,Mid senior,Onsite
linkedin:3788594657,archive,2024-01-14,https://www.linkedin.com/jobs/view/clinical-case-manager-bbs-registered-ccm-at-caminar-inc-3788594657,https://www.linkedin.com/jobs/view/clinical-case-manager-bbs-registered-ccm-at-caminar-inc-3788594657,2024-01-19 14:39:35.392444+00,1,1,0,"Clinical Case Manager (BBS Registered), CCM","Caminar, Inc.","Vallejo, CA",2024-01-14,Novato,United States,Retirement Officer,Mid senior,Onsite
linkedin:3683979372,archive,2024-01-14,https://www.linkedin.com/jobs/view/lead-sales-associate-pt-at-dollar-general-3683979372,https://www.linkedin.com/jobs/view/lead-sales-associate-pt-at-dollar-general-3683979372,2024-01-19 14:39:35.883985+00,1,1,0,LEAD SALES ASSOCIATE-PT,Dollar General,"Savannah, GA",2024-01-14,Savannah,United States,Sales Attendant,Mid senior,Onsite
linkedin:3805727731,archive,2024-01-14,https://www.linkedin.com/jobs/view/survey-crew-chief-michigan-at-ohm-advisors-3805727731,https://www.linkedin.com/jobs/view/survey-crew-chief-michigan-at-ohm-advisors-3805727731,2024-01-19 14:39:39.628919+00,1,1,0,Survey Crew Chief - Michigan,OHM Advisors,"Ann Arbor, MI",2024-01-14,Waterloo,United States,Supervisor Line,Mid senior,Onsite
linkedin:3803961868,archive,2024-01-16,https://www.linkedin.com/jobs/view/volunteer-emergency-department-volunteer-ambassador-at-volunteermatch-3803961868,https://www.linkedin.com/jobs/view/volunteer-emergency-department-volunteer-ambassador-at-volunteermatch-3803961868,2024-01-19 09:45:09.215838+00,0,0,0,Volunteer: Emergency Department Volunteer Ambassador,VolunteerMatch,"Huntington, NY",2024-01-16,Bridgeport,United States,Goodwill Ambassador,Associate,Onsite
linkedin:3740434053,archive,2024-01-14,https://www.linkedin.com/jobs/view/surgical-technologist-at-saint-michael-s-medical-center-3740434053,https://www.linkedin.com/jobs/view/surgical-technologist-at-saint-michael-s-medical-center-3740434053,2024-01-19 14:39:32.95564+00,1,1,0,Surgical Technologist,Saint Michael's Medical Center,"Newark, NJ",2024-01-14,Bound Brook,United States,Surgical Technician,Mid senior,Onsite
linkedin:3744300206,archive,2024-01-16,https://www.linkedin.com/jobs/view/merrill-financial-solutions-advisor-oregon-sw-washington-market-at-bank-of-america-3744300206,https://www.linkedin.com/jobs/view/merrill-financial-solutions-advisor-oregon-sw-washington-market-at-bank-of-america-3744300206,2024-01-19 14:39:33.573261+00,1,1,0,Merrill Financial Solutions Advisor - Oregon & SW Washington Market,Bank of America,"Vancouver, WA",2024-01-16,Beaverton,United States,Financial Planner,Mid senior,Onsite
linkedin:3628340333,archive,2024-01-13,https://www.linkedin.com/jobs/view/rad-tech-at-virginia-mason-franciscan-health-3628340333,https://www.linkedin.com/jobs/view/rad-tech-at-virginia-mason-franciscan-health-3628340333,2024-01-19 14:39:33.898387+00,1,1,0,Rad Tech,Virginia Mason Franciscan Health,"Seattle, WA",2024-01-13,Summit,United States,Radiologist,Mid senior,Onsite
linkedin:3805707129,archive,2024-01-14,https://www.linkedin.com/jobs/view/sous-chef-redwood-city-at-doordash-3805707129,https://www.linkedin.com/jobs/view/sous-chef-redwood-city-at-doordash-3805707129,2024-01-19 14:39:34.178023+00,1,1,0,Sous Chef - Redwood City,DoorDash,"Redwood City, CA",2024-01-14,Union City,United States,Sous Chef,Mid senior,Onsite
linkedin:3760950841,archive,2024-01-15,https://www.linkedin.com/jobs/view/senior-software-engineer-backend-at-walmart-3760950841,https://www.linkedin.com/jobs/view/senior-software-engineer-backend-at-walmart-3760950841,2024-01-19 09:45:09.215838+00,0,0,0,Senior Software Engineer - Backend,Walmart,"Reston, VA",2024-01-15,Bethesda-Chevy Chase,United States,Chief Computer Programmer,Mid senior,Onsite
linkedin:3806305198,archive,2024-01-17,https://www.linkedin.com/jobs/view/online-esl-teacher-at-jobs-for-humanity-3806305198,https://www.linkedin.com/jobs/view/online-esl-teacher-at-jobs-for-humanity-3806305198,2024-01-19 09:45:09.215838+00,0,0,0,Online ESL Teacher,Jobs for Humanity,"Minnetonka, MN",2024-01-17,South Saint Paul,United States,Teacher Music,Mid senior,Onsite
linkedin:3712384620,archive,2024-01-16,https://www.linkedin.com/jobs/view/keyholder-at-torrid-3712384620,https://www.linkedin.com/jobs/view/keyholder-at-torrid-3712384620,2024-01-19 09:45:09.215838+00,0,0,0,Keyholder,Torrid,"Brandon, FL",2024-01-16,Tampa,United States,Reader,Mid senior,Onsite
linkedin:3806167441,archive,2024-01-16,https://uk.linkedin.com/jobs/view/finance-manager-film-at-handle-recruitment-3806167441,https://uk.linkedin.com/jobs/view/finance-manager-film-at-handle-recruitment-3806167441,2024-01-19 09:45:09.215838+00,0,0,0,Finance Manager - Film,Handle Recruitment,"City of London, England, United Kingdom",2024-01-16,Greater London,United Kingdom,Script Reader,Mid senior,Onsite
linkedin:3805938900,archive,2024-01-16,https://uk.linkedin.com/jobs/view/health-and-fitness-instructor-at-hilton-3805938900,https://uk.linkedin.com/jobs/view/health-and-fitness-instructor-at-hilton-3805938900,2024-01-19 09:45:09.215838+00,0,0,0,Health and Fitness Instructor,Hilton,"Tewkesbury, England, United Kingdom",2024-01-16,Cheltenham,United Kingdom,Instructor Sports,Mid senior,Onsite
linkedin:3416333234,archive,2024-01-16,https://www.linkedin.com/jobs/view/financial-advisor-at-first-command-financial-services-inc-3416333234,https://www.linkedin.com/jobs/view/financial-advisor-at-first-command-financial-services-inc-3416333234,2024-01-19 09:45:09.215838+00,0,0,0,Financial Advisor,"First Command Financial Services, Inc.","Pittsburgh, PA",2024-01-16,New Kensington,United States,Financial Planner,Mid senior,Onsite
linkedin:3791064818,archive,2024-01-16,https://www.linkedin.com/jobs/view/ophthalmologist-needed-in-arkansas-at-the-eye-group-3791064818,https://www.linkedin.com/jobs/view/ophthalmologist-needed-in-arkansas-at-the-eye-group-3791064818,2024-01-19 09:45:09.215838+00,0,0,0,Ophthalmologist needed in Arkansas,The Eye Group,"Fort Smith, AR",2024-01-16,Arkansas,United States,Ophthalmologist,Mid senior,Onsite
linkedin:3803493931,archive,2024-01-13,https://www.linkedin.com/jobs/view/behavioral-health-counselor-travel-position-at-sandstone-care-3803493931,https://www.linkedin.com/jobs/view/behavioral-health-counselor-travel-position-at-sandstone-care-3803493931,2024-01-21 07:40:11.491706+00,1,1,0,Behavioral Health Counselor (Travel Position),Sandstone Care,"Chantilly, VA",2024-01-13,Manassas,United States,Clinical Therapist,Mid senior,Onsite
linkedin:3797878201,archive,2024-01-14,https://www.linkedin.com/jobs/view/customer-service-representative-associate-r206-at-byram-healthcare-3797878201,https://www.linkedin.com/jobs/view/customer-service-representative-associate-r206-at-byram-healthcare-3797878201,2024-01-21 07:40:11.665478+00,1,1,0,"Customer Service Representative, Associate (R206)",Byram Healthcare,"Downers Grove, IL",2024-01-14,Bristol,United States,Service Representative,Mid senior,Onsite
linkedin:3795559609,archive,2024-01-16,https://www.linkedin.com/jobs/view/rn-transitional-care-at-providence-at-health-ecareers-3795559609,https://www.linkedin.com/jobs/view/rn-transitional-care-at-providence-at-health-ecareers-3795559609,2024-01-21 07:40:12.453437+00,1,1,0,RN - Transitional Care at Providence,Health eCareers,"Anchorage, AK",2024-01-16,Alaska,United States,Nurse Private Duty,Mid senior,Onsite
linkedin:3737457183,archive,2024-01-14,https://au.linkedin.com/jobs/view/facilities-manager-group-421-at-woolworths-group-3737457183,https://au.linkedin.com/jobs/view/facilities-manager-group-421-at-woolworths-group-3737457183,2024-01-21 07:40:33.153713+00,1,1,0,Facilities Manager Group 421,Woolworths Group,"Sydney, New South Wales, Australia",2024-01-14,Sydney,Australia,Supervisor Cleaning,Mid senior,Onsite
